title,listed_in,rating,duration,seasons,International TV Shows, TV Dramas, TV Mysteries,Crime TV Shows, International TV Shows, TV Action & Adventure,Docuseries, Reality TV, Romantic TV Shows, TV Comedies,TV Dramas, TV Horror,British TV Shows, Docuseries, Crime TV Shows,TV Comedies, Spanish-Language TV Shows, TV Thrillers,Kids' TV, TV Sci-Fi & Fantasy,Reality TV,Anime Series, Kids' TV, Korean TV Shows, Science & Nature TV, Teen TV Shows,TV Shows,TV Action & Adventure,Stand-Up Comedy & Talk Shows,Classic & Cult TV, Stand-Up Comedy & Talk Shows,Romantic TV Shows,TV Horror,Spanish-Language TV Shows, Classic & Cult TV,TV Sci-Fi & Fantasy,Cluster,PCA1,PCA2,Cluster_Label
Kuroko's Basketball,"['Anime Series', ' International TV Shows', ' Teen TV Shows']",4,3 Seasons,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,-1.4482166767954512,-0.671434043068771,Family/Kids Shows
Major Dad,['TV Comedies'],5,4 Seasons,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-0.37816088970873424,1.223711622621622,Mixed Genre Epics
Oldsters,"['Crime TV Shows', ' International TV Shows', ' Spanish-Language TV Shows']",4,1 Season,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1.2859760890786531,-1.9927714700287775,Family/Kids Shows
Turning Point: 9/11 and the War on Terror,['Docuseries'],2,1 Season,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-0.39289692551925265,-0.31668185877414284,Family/Kids Shows
Sparking Joy,['Reality TV'],5,1 Season,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-0.3818542442543526,0.894887637374232,Family/Kids Shows
Hometown Cha-Cha-Cha,"['International TV Shows', ' Romantic TV Shows', ' TV Comedies']",2,1 Season,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.647892943373071,-0.3721514403688589,Short Comedies
The Ingenuity of the Househusband,"['International TV Shows', ' TV Comedies']",3,1 Season,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.4716659204739018,0.30483240715570303,Short Comedies
Bread Barbershop,"[""Kids' TV"", ' TV Comedies']",6,2 Seasons,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.39453617961055837,3.06129129604384,Drama-heavy Long Series
D.P.,"['International TV Shows', ' TV Dramas']",4,1 Season,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.5581592873605639,-0.4438447999352884,Mixed Genre Epics
Deadly Sins,"['International TV Shows', ' Spanish-Language TV Shows', ' TV Dramas']",4,1 Season,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.6673767977130205,-0.9958731285627366,Short Comedies
